@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
1,'2018/07/11 15:30:40:149',1,-7705738,-7639431,-6916481,-6915966,-7703677,-5135941,-1646360,-1053966,-7370854,-13490110,-5998212,-6851974,-7114372,-7770498,-7901054,-7834744,-6650724,-9019013,-14016714,-14542543,-2511973,-4683896,-6325886,-6916734,-6850427,-6849650,-8163966,-12308150,-14872286,-15725805,-4744043,-1849152,-1452581,-1521455,-1585961,-5206110,-10468521,-13886676,-14543580,-16120050,-10140857,-5934726,-5539960,-5471599,-4355937,-9089442,-11520187,-12440518,-13033431,-13296347,-13558239,-10207935,-11456198,-13624798,-12902873,-14084836,-15135214,-15332336,-14018528,-14543846,-11253668,-11058868,-11387836,-11650749,-10532779,-12505289,-14411232,-16185335,-16448249,-16448505,-6977627,-6122061,-4609079,-4609078,-5266749,-9017479,-12898760,-15988212,-16119540,-16185331,-5069887,-4543289,-4016946,-4608825,-5727050,-7503982,-9479326,-15528173,-16053747,-16119797,-4740669,-4411706,-4872259,-6779744,-8754828,-10202537,-10202280,-14278876,-15988210,-16251125,1
2,'2018/07/11 15:30:40:253',1,-7705738,-7639431,-6916481,-6915966,-7703678,-5135941,-1646360,-1053966,-7305317,-13490109,-5998212,-6851974,-7114372,-7770498,-7901054,-7834744,-6650724,-9019013,-13951178,-14542543,-2512228,-4683897,-6325886,-6916734,-6850426,-6849650,-8163966,-12308150,-14872286,-15725805,-4744042,-1849153,-1452581,-1521455,-1585961,-5140318,-10468265,-13886675,-14543579,-16120050,-10206649,-5934982,-5539960,-5471599,-4355936,-9023906,-11519931,-12440518,-13033431,-13296091,-13558239,-10207935,-11390662,-13624798,-12837081,-14019300,-15135214,-15332336,-13952992,-14543846,-11253668,-11058867,-11387836,-11585213,-10532779,-12505289,-14411232,-16120055,-16382713,-16448505,-6977627,-6122061,-4609079,-4609078,-5266749,-9017479,-12898760,-15988212,-16119540,-16119795,-5069887,-4543289,-4016946,-4608825,-5727050,-7503982,-9479326,-15528172,-16053746,-16119797,-4740669,-4411706,-4872259,-6779745,-8754828,-10202538,-10202536,-14213083,-15988211,-16251125,1
3,'2018/07/11 15:30:40:253',1,-7705738,-7639431,-6916481,-6915966,-7703678,-5135941,-1646360,-1053966,-7305317,-13490109,-5998212,-6851974,-7114372,-7770498,-7901054,-7834744,-6650724,-9019013,-13951178,-14542543,-2512228,-4683897,-6325886,-6916734,-6850426,-6849650,-8163966,-12308150,-14872286,-15725805,-4744042,-1849153,-1452581,-1521455,-1585961,-5140318,-10468265,-13886675,-14543579,-16120050,-10206649,-5934982,-5539960,-5471599,-4355936,-9023906,-11519931,-12440518,-13033431,-13296091,-13558239,-10207935,-11390662,-13624798,-12837081,-14019300,-15135214,-15332336,-13952992,-14543846,-11253668,-11058867,-11387836,-11585213,-10532779,-12505289,-14411232,-16120055,-16382713,-16448505,-6977627,-6122061,-4609079,-4609078,-5266749,-9017479,-12898760,-15988212,-16119540,-16119795,-5069887,-4543289,-4016946,-4608825,-5727050,-7503982,-9479326,-15528172,-16053746,-16119797,-4740669,-4411706,-4872259,-6779745,-8754828,-10202538,-10202536,-14213083,-15988211,-16251125,1
4,'2018/07/11 15:30:40:254',1,-7705738,-7639431,-6916481,-6915966,-7703678,-5135941,-1646360,-1053966,-7305317,-13490109,-5998212,-6851974,-7114372,-7770498,-7901054,-7834744,-6650724,-9019013,-13951178,-14542543,-2512228,-4683897,-6325886,-6916734,-6850426,-6849650,-8163966,-12308150,-14872286,-15725805,-4744042,-1849153,-1452581,-1521455,-1585961,-5140318,-10468265,-13886675,-14543579,-16120050,-10206649,-5934982,-5539960,-5471599,-4355936,-9023906,-11519931,-12440518,-13033431,-13296091,-13558239,-10207935,-11390662,-13624798,-12837081,-14019300,-15135214,-15332336,-13952992,-14543846,-11253668,-11058867,-11387836,-11585213,-10532779,-12505289,-14411232,-16120055,-16382713,-16448505,-6977627,-6122061,-4609079,-4609078,-5266749,-9017479,-12898760,-15988212,-16119540,-16119795,-5069887,-4543289,-4016946,-4608825,-5727050,-7503982,-9479326,-15528172,-16053746,-16119797,-4740669,-4411706,-4872259,-6779745,-8754828,-10202538,-10202536,-14213083,-15988211,-16251125,1
5,'2018/07/11 15:30:40:284',1,-7771274,-7639431,-6916481,-6915966,-7703677,-5135941,-1646360,-1053966,-7239524,-13424317,-6063748,-6851718,-7114116,-7770498,-7901054,-7834744,-6650980,-8953220,-13951178,-14477007,-2512229,-4683897,-6325886,-6916478,-6850427,-6849650,-8163966,-12308150,-14872286,-15725805,-4744042,-1914945,-1452581,-1521199,-1585962,-5140318,-10468265,-13886675,-14543579,-16120050,-10272442,-5934982,-5605496,-5471599,-4290144,-8958369,-11454395,-12440262,-13033431,-13296347,-13624032,-10207935,-11390405,-13624798,-12837081,-14019300,-15135214,-15332080,-14018272,-14478310,-11253668,-11058867,-11387836,-11585213,-10532779,-12505289,-14411232,-16119799,-16382713,-16448505,-6977627,-6122061,-4609079,-4609078,-5266749,-9017479,-12898760,-15988212,-16119540,-16119794,-5069887,-4543289,-4016946,-4608825,-5727050,-7503982,-9479326,-15528172,-16053746,-16119797,-4740669,-4411706,-4872259,-6779744,-8754572,-10202538,-10202536,-14213083,-15988210,-16251125,1
6,'2018/07/11 15:30:40:317',1,-7771274,-7639431,-6916481,-6915966,-7703677,-5135941,-1646360,-1053966,-7239524,-13424317,-6063748,-6851718,-7114116,-7770498,-7901054,-7834744,-6650980,-8953220,-13951178,-14477007,-2512229,-4683897,-6325886,-6916478,-6850427,-6849650,-8163966,-12308150,-14872286,-15725805,-4744042,-1914945,-1452581,-1521199,-1585962,-5140318,-10468265,-13886675,-14543579,-16120050,-10272442,-5934982,-5605496,-5471599,-4290144,-8958369,-11454395,-12440262,-13033431,-13296347,-13624032,-10207935,-11390405,-13624798,-12837081,-14019300,-15135214,-15332080,-14018272,-14478310,-11253668,-11058867,-11387836,-11585213,-10532779,-12505289,-14411232,-16119799,-16382713,-16448505,-6977627,-6122061,-4609079,-4609078,-5266749,-9017479,-12898760,-15988212,-16119540,-16119794,-5069887,-4543289,-4016946,-4608825,-5727050,-7503982,-9479326,-15528172,-16053746,-16119797,-4740669,-4411706,-4872259,-6779744,-8754572,-10202538,-10202536,-14213083,-15988210,-16251125,1
7,'2018/07/11 15:30:40:350',1,-7771274,-7639431,-6916481,-6915966,-7703677,-5135941,-1646360,-1053710,-7239268,-13424316,-6063748,-6851718,-7114116,-7770498,-7901054,-7834744,-6650980,-8953220,-13951178,-14542543,-2512229,-4683896,-6325886,-6916478,-6850426,-6849650,-8163966,-12308150,-14872286,-15725805,-4744042,-1849409,-1452581,-1521455,-1585962,-5140318,-10468265,-13886675,-14543579,-16120050,-10272186,-5934982,-5539960,-5471855,-4290144,-8958113,-11454395,-12440262,-12967895,-13296091,-13624032,-10207935,-11390405,-13624542,-12837081,-14019300,-15135214,-15332080,-13952736,-14478310,-11253668,-11058867,-11387836,-11585213,-10532779,-12505289,-14411232,-16119799,-16382713,-16448505,-6977627,-6122061,-4609079,-4674614,-5266749,-9017479,-12898760,-15988212,-16119540,-16119795,-5069887,-4543289,-4016946,-4608825,-5727050,-7503982,-9479326,-15528172,-16053746,-16119797,-4740669,-4411706,-4872259,-6779744,-8754572,-10202537,-10202536,-14213084,-15988210,-16251125,1
8,'2018/07/11 15:30:40:384',1,-7705738,-7639431,-6916481,-6915966,-7703677,-5135941,-1646360,-1053966,-7239524,-13424317,-5998212,-6851718,-7114116,-7770498,-7901054,-7834744,-6650980,-8953220,-13951178,-14542543,-2446180,-4683896,-6260350,-6916478,-6850426,-6849650,-8163966,-12308150,-14872286,-15725805,-4744041,-1914945,-1452581,-1521455,-1585962,-5140318,-10468521,-13886675,-14543579,-16120050,-10206650,-5934982,-5539704,-5471599,-4290144,-8958113,-11454395,-12440262,-12967895,-13296091,-13624032,-10207935,-11390661,-13624542,-12837081,-14019300,-15135214,-15332080,-13952736,-14478310,-11253668,-11124404,-11387836,-11650749,-10532779,-12505289,-14411232,-16119799,-16382713,-16448505,-6977627,-6122061,-4609079,-4609078,-5266749,-8951943,-12898760,-15988212,-16054003,-16119795,-5069887,-4543289,-4016946,-4608825,-5727050,-7503982,-9479326,-15528172,-16053746,-16119797,-4740669,-4411706,-4872259,-6779745,-8754828,-10202537,-10202536,-14213084,-15988210,-16185589,1
9,'2018/07/11 15:30:40:418',1,-7705738,-7639431,-6916481,-6915966,-7703677,-5135941,-1646360,-1053966,-7239524,-13424317,-5998212,-6851718,-7114116,-7770498,-7901054,-7834744,-6650980,-8953220,-13951178,-14542543,-2446180,-4683896,-6260350,-6916478,-6850426,-6849650,-8163966,-12308150,-14872286,-15725805,-4744041,-1914945,-1452581,-1521455,-1585962,-5140318,-10468521,-13886675,-14543579,-16120050,-10206650,-5934982,-5539704,-5471599,-4290144,-8958113,-11454395,-12440262,-12967895,-13296091,-13624032,-10207935,-11390661,-13624542,-12837081,-14019300,-15135214,-15332080,-13952736,-14478310,-11253668,-11124404,-11387836,-11650749,-10532779,-12505289,-14411232,-16119799,-16382713,-16448505,-6977627,-6122061,-4609079,-4609078,-5266749,-8951943,-12898760,-15988212,-16054003,-16119795,-5069887,-4543289,-4016946,-4608825,-5727050,-7503982,-9479326,-15528172,-16053746,-16119797,-4740669,-4411706,-4872259,-6779745,-8754828,-10202537,-10202536,-14213084,-15988210,-16185589,1
10,'2018/07/11 15:30:40:451',1,-7705738,-7639431,-6916481,-6915966,-7703677,-5135941,-1646360,-1053966,-7239524,-13424317,-5998212,-6851718,-7114116,-7770499,-7901054,-7834744,-6650980,-8953220,-13951178,-14542543,-2446180,-4683897,-6325886,-6916478,-6850427,-6849650,-8163966,-12308150,-14872286,-15725805,-4744040,-1914945,-1452581,-1521199,-1586218,-5140318,-10468521,-13886675,-14543579,-16120050,-10206649,-5934726,-5539704,-5471599,-4290144,-8958113,-11454395,-12440262,-13033431,-13296347,-13624032,-10207935,-11390405,-13624542,-12837081,-14019300,-15135214,-15332080,-13952736,-14478310,-11253668,-11124404,-11387836,-11650749,-10532779,-12505289,-14411232,-16120055,-16382713,-16448505,-6977627,-6122061,-4609079,-4609078,-5266749,-9017479,-12898760,-15988212,-16119539,-16119794,-5069887,-4543289,-4016946,-4608825,-5727050,-7503982,-9479326,-15528172,-16053746,-16119797,-4740669,-4411706,-4872259,-6779745,-8754572,-10202538,-10202536,-14278876,-15988210,-16251126,1
